“From”	“To”
"1"	"Alicia Spinnet"	"Alicia Spinnet"
"2"	"Alicia Spinnet"	"Angelina Johnson"
"3"	"Alicia Spinnet"	"Fred Weasley"
"4"	"Alicia Spinnet"	"George Weasley"
"5"	"Alicia Spinnet"	"Harry James Potter"
"6"	"Alicia Spinnet"	"Katie Bell"
"7"	"Angelina Johnson"	"Alicia Spinnet"
"8"	"Angelina Johnson"	"Angelina Johnson"
"9"	"Angelina Johnson"	"Fred Weasley"
"10"	"Angelina Johnson"	"George Weasley"
"11"	"Angelina Johnson"	"Harry James Potter"
"12"	"Angelina Johnson"	"Katie Bell"
"13"	"Anthony Goldstein"	"Anthony Goldstein"
"14"	"Anthony Goldstein"	"Ernie Macmillan"
"15"	"Anthony Goldstein"	"Hannah Abbott"
"16"	"Anthony Goldstein"	"Harry James Potter"
"17"	"Anthony Goldstein"	"Justin Finch-Fletchley"
"18"	"Anthony Goldstein"	"Susan Bones"
"19"	"Anthony Goldstein"	"Terry Boot"
"20"	"Cho Chang"	"Cho Chang"
"21"	"Cho Chang"	"Harry James Potter"
"22"	"Dean Thomas"	"Dean Thomas"
"23"	"Dean Thomas"	"Harry James Potter"
"24"	"Draco Malfoy"	"Draco Malfoy"
"25"	"Draco Malfoy"	"Pansy Parkinson"
"26"	"Ernie Macmillan"	"Anthony Goldstein"
"27"	"Ernie Macmillan"	"Ernie Macmillan"
"28"	"Ernie Macmillan"	"Hannah Abbott"
"29"	"Ernie Macmillan"	"Harry James Potter"
"30"	"Ernie Macmillan"	"Justin Finch-Fletchley"
"31"	"Ernie Macmillan"	"Susan Bones"
"32"	"Ernie Macmillan"	"Terry Boot"
"33"	"Fred Weasley"	"Alicia Spinnet"
"34"	"Fred Weasley"	"Angelina Johnson"
"35"	"Fred Weasley"	"Fred Weasley"
"36"	"Fred Weasley"	"George Weasley"
"37"	"Fred Weasley"	"Ginny Weasley"
"38"	"Fred Weasley"	"Harry James Potter"
"39"	"Fred Weasley"	"Hermione Granger"
"40"	"Fred Weasley"	"Katie Bell"
"41"	"Fred Weasley"	"Lee Jordan"
"42"	"Fred Weasley"	"Ronald Weasley"
"43"	"George Weasley"	"Alicia Spinnet"
"44"	"George Weasley"	"Angelina Johnson"
"45"	"George Weasley"	"Fred Weasley"
"46"	"George Weasley"	"George Weasley"
"47"	"George Weasley"	"Ginny Weasley"
"48"	"George Weasley"	"Harry James Potter"
"49"	"George Weasley"	"Hermione Granger"
"50"	"George Weasley"	"Katie Bell"
