ego.id,alter.id,relation
ETG-001-01,ETG-020-02,2
ETG-001-01,OKA-013-02,3
ETG-002-01,SP-005-02,2
ETG-002-01,ETG-015-02,2
ETG-002-01,SP-109-02,3
ETG-002-01,SP-047-02,3
ETG-003-01,SP-887-02,3
ETG-003-01,SP-394-02,3
ETG-003-01,SP-895-02,3
ETG-004-01,ETG-015-02,2
ETG-005-01,SP-109-02,3
ETG-006-01,SP-019-02,1
ETG-007-02,SP-532-01,1
ETG-007-02,SP-837-01,3
ETG-007-02,SP-897-01,4
ETG-008-02,TAND-013-01,1
ETG-008-02,SP-081-01,1
ETG-008-02,SP-602-01,3
ETG-008-02,SP-044-01,3
ETG-009-02,SP-559-01,3
ETG-009-02,SP-577-01,3
ETG-009-02,OKA-009-01,3
ETG-010-02,SP-252-01,2
ETG-010-02,SP-133-01,3
ETG-010-02,SP-314-01,3
ETG-010-02,SP-368-01,3
ETG-011-02,SP-730-01,3
ETG-011-02,SP-764-01,2
ETG-013-02,SP-789-01,3
ETG-014-01,SP-322-02,1
ETG-015-02,SP-855-01,3
ETG-015-02,SP-123-01,3
ETG-015-02,SP-022-01,3
ETG-015-02,SP-277-01,3
ETG-015-02,SP-107-01,3
ETG-015-02,SP-439-01,3
ETG-015-02,SP-472-01,3
ETG-016-02,SP-107-01,1
ETG-016-02,OKYG-041-01,2
ETG-017-01,SP-826-02,2
ETG-017-01,SP-824-02,3
ETG-018-02,SP-581-01,1
ETG-018-02,SP-152-01,3
ETG-018-02,SP-804-01,3
ETG-018-02,SP-847-01,3
ETG-018-02,SP-098-01,3
ETG-019-02,SP-023-01,1
ETG-019-02,SP-022-01,1
ETG-019-02,SP-336-01,3
ETG-019-02,SP-196-01,3
ETG-019-02,OMH-010-01,3
ETG-020-02,SP-028-01,1
ETG-022-01,SP-047-02,1
ETG-022-01,SP-872-02,3
ETG-022-01,SP-791-02,3
ETG-023-02,SP-864-01,3
ETG-023-02,SP-449-01,3
ETG-023-02,SP-339-01,3
OMRR-001-02,SP-445-01,1
OMRR-001-02,SP-195-01,3
OMRR-001-02,SP-440-01,3
OMRR-001-02,SP-327-01,3
OMRR-001-02,SP-190-01,3
OMRR-002-01,SP-852-02,1
OMRR-002-01,SP-328-02,4
OTJM-001-02,SP-355-01,1
OTJM-002-01,SP-894-02,1
OTJM-002-01,SP-898-02,2
OTJM-003-01,SP-270-02,2
BANG-001-01,SP-146-02,1
BANG-001-01,SP-899-02,2
BANG-001-01,SP-900-02,2
BANG-002-01,SP-901-02,3
BANG-003-01,SP-648-02,2
BANG-004-01,SP-902-02,3
BANG-004-01,SP-903-02,4
BANG-005-01,SP-041-02,3
BANG-006-01,SP-828-02,2
BANG-007-02,SP-574-01,2
BANG-007-02,SP-663-01,3
BANG-007-02,SP-255-01,3
BANG-007-02,SP-702-01,3
BANG-007-02,SP-619-01,2
BANG-007-02,SP-856-01,2
BANG-008-02,SP-904-01,4
BANG-008-02,SP-276-01,3
BANG-008-02,SP-128-01,2
BANG-008-02,SP-709-01,2
BANG-008-02,SP-848-01,3
BANG-008-02,SP-503-01,2
BANG-008-02,SP-297-01,3
BANG-009-01,SP-145-02,4
BANG-010-01,SP-774-02,2
OZJ-001-01,SP-466-02,2
OZJ-002-01,OZJ-003-02,1
OZJ-004-01,OZJ-013-02,1
OZJ-005-01,SP-652-02,1
OZJ-006-01,OZJ-014-02,1
OZJ-007-01,SP-112-02,2
OZJ-008-01,OZJ-031-02,1
OZJ-008-01,SP-154-02,3
OZJ-008-01,SP-842-02,3
OZJ-008-01,SP-091-02,3
OZJ-008-01,SP-485-02,3
OZJ-009-01,SP-058-02,1
OZJ-010-01,OZJ-018-02,1
OZJ-011-01,OZJ-014-02,1
OZJ-011-01,SP-859-02,3
OZJ-012-02,SP-376-01,1
OZJ-012-02,SP-257-01,3
OZJ-012-02,SP-075-01,3
OZJ-012-02,SP-414-01,3
OZJ-012-02,SP-871-01,3
OZJ-012-02,SP-053-01,3
OZJ-012-02,SP-870-01,3
OZJ-012-02,SP-820-01,3
OZJ-012-02,SP-418-01,3
OZJ-012-02,SP-360-01,3
OZJ-015-02,SP-801-01,1
OZJ-015-02,SP-253-01,2
OZJ-015-02,SP-346-01,3
OZJ-016-02,SP-351-01,3
OZJ-017-02,SP-825-01,1
OZJ-018-02,SP-144-01,1
OZJ-019-01,SP-220-02,1
OZJ-020-01,SP-667-02,1
OZJ-021-01,OKA-015-02,1
OZJ-021-01,SP-851-02,3
OZJ-022-01,SP-893-02,1
OZJ-023-02,SP-464-01,2
OZJ-024-01,OZJ-030-02,1
OZJ-025-01,SP-063-02,1
OZJ-027-02,OZJ-024-01,3
OZJ-028-01,SP-091-02,3
OZJ-029-01,SP-063-02,2
OZJ-030-02,SP-331-01,2
OZJ-030-02,SP-767-01,3
OZJ-031-02,SP-595-01,3
OZJ-031-02,SP-446-01,3
OZJ-031-02,SP-518-01,3
OZJ-031-02,SP-388-01,3
OZJ-031-02,SP-403-01,3
OZJ-031-02,SP-157-01,3
OZJ-031-02,SP-192-01,3
OZJ-031-02,SP-354-01,3
OZJ-031-02,SP-024-01,3
OZJ-032-01,SP-303-02,1
OZJ-032-01,SP-295-02,3
OZJ-033-02,SP-591-01,1
OZJ-033-02,OKA-009-01,3
OZJ-033-02,SP-793-01,3
OZJ-033-02,SP-383-01,3
OZJ-034-02,SP-611-01,1
OZJ-034-02,SP-496-01,1
OZJ-034-02,SP-425-01,1
OZJ-034-02,SP-592-01,1
OZJ-034-02,SP-381-01,1
OZJ-035-02,SP-751-01,1
NDW-001-02,SP-558-01,2
NDW-001-02,SP-102-01,3
NDW-001-02,NDW-003-01,3
NDW-002-02,SP-162-01,1
NDW-003-01,SP-153-02,1
NDW-005-01,SP-468-02,2
NDW-005-01,NDW-009-02,1
NDW-006-02,SP-675-01,1
NDW-006-02,SP-379-01,4
NDW-006-02,SP-128-01,3
NDW-007-01,SP-280-02,2
NDW-008-02,SP-677-01,1
NDW-008-02,SP-599-01,3
NDW-009-02,NDW-011-01,1
NDW-009-02,SP-040-01,4
NDW-010-02,SP-294-01,2
OTNG-001-01,OTNG-002-02,1
OTNG-003-01,SP-287-02,2
OTNG-004-01,SP-1056-02,3
OTNG-004-01,SP-176-02,3
OTNG-005-01,SP-858-02,3
OTNG-005-01,SP-551-02,3
OTNG-006-02,SP-722-01,3
OTNG-007-02,SP-814-01,3
OTNG-007-02,SP-344-01,3
OTNG-007-02,SP-080-01,3
OTNG-007-02,SP-189-01,3
